LRIMOShipNo,ShipName,ShipStatus,ShiptypeLevel5,GrossTonnage,Deadweight,BollardPull,Breadth,BunkersDescriptiveNarrative,CargoCapacitiesNarrative,CargoGradesSegregations,ClassNarrative,CountryOfBuild,DateOfBuild,Displacement,Draught,FlagCode,FlagName,FuelConsumptionTotal,FuelType1Capacity,FuelType1Code,FuelType1First,FuelType2Capacity,FuelType2Code,FuelType2Second,GasCapacity,GrainCapacity,HullType,HullTypeCode,IceCapabilityDescriptiveNarrative,Length,LiquidCapacity,MaritimeMobileServiceIdentityMMSINumber,NumberofTanks,Operator,PassengerCapacity,PortofRegistryCode,PortofRegistry,SegregatedBallastCapacity,SegregatedBallastTanks,Shipbuilder,ShiptypeGroup,ShiptypeLevel2,ShiptypeLevel3,ShiptypeLevel4,ShiptypeLevel5HullType,ShiptypeLevel5SubGroup,ShiptypeLevel5SubType,SlopTankCapacity,Speed,StandardShipDesign,StatCode5,TEU
9185463,HOEGH OSAKA,In Service/Commission,Vehicles Carrier,51770,16886,0,32.2,,"Cars 5,240",0,Det norske Veritas (2000-09-00) NV: Class Notation: 1A1 Car Carrier RO/RO MCDK E0,Japan,200009,0,10.15,SNG,Singapore,0,,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,179.9,0,563248000,,Hoegh Autoliners AS,0,610,Singapore,0,,Tsuneishi Shbldg - Tdts - earl,,Dry Cargo/Passenger,Ro-Ro Cargo,Vehicles Carrier,Ship Shape Including Multi-Hulls,Ro-Ro,Vehicles Carrier,,20,,A35B2RV,0
9185487,SITEAM JUPITER,In Service/Commission,Chemical/Products Tanker,27185,48330,0,32.2,Fuel: (heating coils),"Crew 28; Liquid @ 98% 48,240; Segregated Ballast 20,902; Slops 2,895; Cargo heating coils",12,"American Bureau of Shipping (2010-05-00) AB: Class Notation: A1, Chemical Carrier, Oil Carrier, AMS, ACCU, TCM ",Japan,200002,58183,12.672,LIB,Liberia,0,198,DF,Distillate Fuel,1999,RF,Residual Fuel,0,0,Double Hull (Marpol),DH,,182,48240,636091062,18,Chemikalien Seetransport GmbH,0,4028,Monrovia                              ,20902,,Sanoyas Hishino Meisho Corp,MR Large - Tanker,Tankers,Chemical,Chemical/Oil Products Tanker,Ship Shape Including Multi-Hulls,Petroleum Products,Chemical/Products Tanker,2895,14.3,,A12B2TR,0
9185516,CHEMTRANS STAR,In Service/Commission,Crude/Oil Products Tanker,37033,63331,0,32.2,,"Crew 30; Liquid @ 98% 68,725; Segregated Ballast 27,574; Slops 2,251; Cargo heating coils",3,"American Bureau of Shipping (2000-00-00) AB: Class Notation: (+)A1, Oil Carrier, (E), (+)AMS, (+)ACCU, VEC, TCM, SH  Service Restriction: Unrestricted Service","China, People's Republic Of",200010,76591,12.8,LIB,Liberia,0,210,DF,Distillate Fuel,1900,RF,Residual Fuel,0,0,Double Hull (Marpol),DH,,228.6,68725,636090883,12,Star Tankers Inc,0,4028,Monrovia                              ,27574,,Dalian New Shipbuilding HI,Panamax - Tanker,Tankers,Oil,Crude Oil Tanker,Ship Shape Including Multi-Hulls,Petroleum Products,Crude/Oil Products Tanker,2251,14.5,,A13A2TW,0
9185736,HELENA,In Service/Commission,Bulk Carrier,38364,73744,0,32.26,Fuel: (heating coils) consumption: 31.80pd,"Crew 21; Grain 87,298",0,"Nippon Kaiji Kyokai (1999-00-00) NK: Special Survey Date: 2009-03-14 Class Notation: NS*(BC)(ESP)/MNS* CHG, MPP, LSA, RCF, M0, AFS.C",Japan,199902,0,13.871,MAI,Marshall Islands,31.8,180,DF,Distillate Fuel,2200,RF,Residual Fuel,0,87298,,,,225,0,538002902,,TMS Bulkers Ltd,0,100,Majuro                                ,0,,Sumitomo Hi Yokosuka,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,,A21A2BC,0
9185748,C. S. QUEEN,In Service/Commission,Bulk Carrier,37775,72465,0,32.2,Fuel: consumption: 34.00pd,"Crew 25; Grain 84,790; Clean Ballast 36,451",0,"Nippon Kaiji Kyokai (1998-10-00) NK: Special Survey Date: 2008-08-05 Class Notation: NS*(BC)(ESP)/MNS* MPP, LSA, RCF, AFS",Japan,199809,82621,13.522,PAN,Panama,34,84,DF,Distillate Fuel,2293,RF,Residual Fuel,0,84790,,,,225,0,353742000,,Oldendorff Carriers GmbH & Co,0,1010,Panama,0,,Sasebo Sasebo,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.2,,A21A2BC,0
9185774,ALPHA FLAME,In Service/Commission,Bulk Carrier,38852,74545,0,32.2,Fuel: consumption: 32.00pd,"Crew 28; Grain 87,590; Segregated Ballast 24,122",0,"Det Norske Veritas (2004-08-00) NV: Class Notation: 1A1 Bulk Carrier ESP HC-E HOLDS(2,4,6)MAY BE EMPTY TMON",Japan,199901,0,13.821,GRC,Greece,32,75.81,DF,Distillate Fuel,2794.32,RF,Residual Fuel,0,87590,,,,225,0,240144000,,Alpha Tankers & Freighters,0,825,Piraeus,24122,Y,Sasebo Sasebo,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,,A21A2BC,0
9185798,OCEAN FAVOUR,In Service/Commission,Bulk Carrier,37847,72400,0,32.23,,"Grain 84,790",0,"Nippon Kaiji Kyokai (1998-11-00) NK: Special Survey Date: 2008-11-08 Class Notation: NS*(BC)(ESP)/MNS* CHG, MPP, LSA, RCF, M0, AFS",Japan,199811,0,13.52,HKG,"Hong Kong, China",0,2210,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,84790,,,,225,0,477783000,,Ocean Longevity Shipping,0,9377,Hong Kong,0,,Sasebo Sasebo,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,,A21A2BC,0
9186376,GREAT GAIN,In Service/Commission,Bulk Carrier,16651,27140,0,26,Fuel: (heating coils) consumption: 27.00pd,"Crew 22; Grain 35,133; Bale 33,930; Clean Ballast 8,785",0,"Det Norske Veritas (1999-03-00) NV: Class Notation: 1A1 Bulk Carrier ESP HC-E E0 LCS-SIGD HOLDS(2,4)MAY BE EMPTY","China, People's Republic Of",199811,33900,9.817,HKG,"Hong Kong, China",27,150.16,DF,Distillate Fuel,996.36,RF,Residual Fuel,0,35133,Double Bottom Entire Compartment Length,DBE,,168.76,0,477727000,,Ultrabulk Shipping A/S,0,9377,Hong Kong,0,,Guangzhou Shipyard Intl Co Ltd,Large Handysize - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14,,A21A2BC,0
9186778,NEW VISION,In Service/Commission,Bulk Carrier,26586,48221,0,30.95,,"Grain 60,956; Bale 59,778",0,"Nippon Kaiji Kyokai (2000-00-00) NK: Special Survey Date: 2009-11-08 Class Notation: NS*(BC)(ESP)/MNS* CHG, MPP, LSA, RCF, AFS",Japan,199910,0,11.74,PAN,Panama,0,1440,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,60956,,,,189.33,0,357764000,,Oldendorff Carriers GmbH & Co,0,1010,Panama,0,,Oshima Shipbuilding Co Ltd,Handymax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,,A21A2BC,0
9186780,PAN PAC SPIRIT,In Service/Commission,Bulk Carrier,22073,36466,0,29,Fuel: (heating coils) consumption: 27.50pd,"Crew 21; Grain 38,174; Clean Ballast 17,135",0,"Nippon Kaiji Kyokai (1999-03-00) NK: Special Survey Date: 2009-02-28 Class Notation: NS*(BC)(PSCM)/MNS* CHG, MPP, LSA, RCF, M0, AFS",Japan,199902,43841,10.975,PAN,Panama,27.5,123.8,DF,Distillate Fuel,1741.8,RF,Residual Fuel,0,38174,Double Hull,DHE,,173,0,357142000,,Kawasaki Kisen Kaisha Ltd,0,1010,Panama,0,,Oshima Shipbuilding Co Ltd,Large Handysize - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,,A21A2BC,0
9187033,HR MARGARETHA,In Service/Commission,General Cargo Ship,11894,17539,0,21.5,Fuel: consumption: 30.00pd,"Crew 15; Grain 20,125; Bale 20,125; TEU: 962 TEU @14:661 C Ho 446 TEU C Dk 516 TEU incl 60 ref C.",0,"Lloyd's Register (1999-06-00)LR Class: + 100 A1 Survey Type: Special Survey Date: 2009-06 Class Notation: strengthened for heavy cargoes,:container cargoes in holds, on upper deck and on hatch covers,:*IWS:LI:Ice Class 1A at a draught of 9.30m:Max/min draughts fwd 9.30/4.20m:Max/min draughts aft 9.30/5.60m :Power required 6226kw, power installed 7800kw LR Machinery Class: LR Maltese Cross LMC LR Machinery Notations: UMS (Unmanned Machinery Spaces)Fee Numeral: 004642 LR Hull Notes: 5BH   WB5560T",Netherlands,199906,0,9.7,LIB,Liberia,30,193,DF,Distillate Fuel,1386,RF,Residual Fuel,0,20125,,,FS Ice Class 1A,142.81,0,636092242,,Hammonia Reederei GmbH,0,4028,Monrovia                              ,0,,Schelde Scheepsnieuwbouw,,Dry Cargo/Passenger,General Cargo,General Cargo Ship,Ship Shape Including Multi-Hulls,General Cargo,General Cargo,,15,,A31A2GX,962
9187241,SMIT MISSISSIPPI,In Service/Commission,Tug,353,240,55,10.6,,Crew 8,0,Lloyd's Register (1999-03-00)LR Class: + 100 A1 Survey Type: Special Survey Date: 2009-03 Class Notation: tug LR Machinery Class: LR Maltese Cross LMC LR Machinery Notations: UMS (Unmanned Machinery Spaces)Fee Numeral: 000428 LR Hull Notes: 5BH   WB146T,Netherlands,199903,660,5.01,CAN,Canada,0,88.28,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,30.6,0,316013397,,Smit Marine Canada Inc,0,1673,"Vancouver, BC",0,,Damen Gorinchem,,Miscellaneous,Towing / Pushing,Tug,Ship Shape Including Multi-Hulls,Specialist 1,Tug,,12.7,Damen ASD 3111,B32A2ST,0
9187447,JIN RUN,In Service/Commission,Bulk Carrier,37711,72495,0,32.2,,"Grain 85,483",0,"Nippon Kaiji Kyokai (1999-01-00) NK: Special Survey Date: 2008-12-09 Class Notation: NS*(BC)(ESP)/MNS* CHG, MPP, LSA, RCF, M0, AFS",Japan,199812,0,13.55,HKG,"Hong Kong, China",0,2910,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,85483,,,,225,0,477861500,,Oldendorff Carriers GmbH & Co,0,9377,Hong Kong,0,,Koyo Dockyard Co Ltd,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,,A21A2BC,0
9187514,WESTERN NEPTUNE,In Service/Commission,Research Survey Vessel,8369,4538,0,23,,,0,Det Norske Veritas (2000-00-00) NV: Class Notation: 1A1 ICE-C HELDK E0,Norway,199911,0,7.3,PAN,Panama,0,,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,FS Ice Class 1C,92.5,0,357268000,,WesternGeco AS,0,1010,Panama,0,,Ulstein Verft Ulsteinvik,,Miscellaneous,Research,Research Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Research Survey Vessel,,16,UT 753,B31A2SR,0
9187708,FLIPPER,In Service/Commission,Bulk Carrier,38364,73726,0,32.26,,"Crew 21; Grain 87,298",0,Bureau Veritas (2004-08-00) BV: Special Survey Date: 2009-02-01 Class Notation: I Bulk carrier ESP -heavycargo -Nonhomload ,Japan,199903,83246,13.871,CYP,Cyprus,0,,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,87298,,,,225,0,210744000,,Dalnave Navigation Inc,0,23,Limassol,0,,Sumitomo Hi Yokosuka,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,,A21A2BC,0
9187746,GREAT AMBITION,In Service/Commission,Bulk Carrier,38426,73725,0,32.26,Fuel: (heating coils) consumption: 32.00pd,"Crew 21; Grain 87,298",0,China Classification Society (2004-08-00),Japan,199908,83246,13.87,HKG,"Hong Kong, China",32,169.15,DF,Distillate Fuel,2073.68,RF,Residual Fuel,0,87298,Double Bottom Entire Compartment Length,DBE,,225,0,477294000,,Sinotrans Ship Management Ltd,0,9377,Hong Kong,0,,Sumitomo Hi Yokosuka,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,,A21A2BC,0
9187954,EAST AMBITION,In Service/Commission,Bulk Carrier,17852,28378,0,27,,"Grain 38,320; Bale 36,801",0,"Nippon Kaiji Kyokai (2000-02-00) NK: Special Survey Date: 2010-04-12 Class Notation: NS*(BC)(ESP)/MNS* CHG, MPP, LSA, RCF, AFS",Japan,200002,0,9.573,HKG,"Hong Kong, China",0,1430,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,38320,,,,171.93,0,477614100,,Sino East Transportation Co,0,9377,Hong Kong,0,,Naikai Zosen Corp - Setoda,Large Handysize - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14,,A21A2BC,0
9188025,GREAT IMMENSITY,In Service/Commission,Open Hatch Cargo Ship,23259,32509,0,27.7,Fuel: (heating coils) consumption: 30.00pd,"Crew 25; Grain 40,168; TEU: 1,540 C Ho 796 TEU C Dk 744 TEU",0,"Bureau Veritas (2000-00-00) BV: Special Survey Date: 2009-10-01 Class Notation: I Bulk carrier -nonhomload, General cargo ship, Container ship Heavycargo","China, People's Republic Of",199912,43046,11.629,HKG,"Hong Kong, China",30,197.15,DF,Distillate Fuel,1179,RF,Residual Fuel,0,40168,,,,173.6,0,477705000,,Sinotrans Ship Management Ltd,0,9377,Hong Kong,0,,Bohai Shipyard,,Dry Cargo/Passenger,General Cargo,General Cargo Ship,Ship Shape Including Multi-Hulls,General Cargo,Open Hatch Cargo Ship,,14,,A31A2GO,1540
9188037,AMSTERDAM,In Service/Commission,Passenger/Cruise,62735,7327,0,32.25,,"Passengers; cabins 690; berths 1,738; Crew 642",0,Lloyd's Register (2000-09-28)LR Class: + 100 A1 Survey Type: Continuous Survey Date: 2010-09 Class Notation: passenger ship:*IWS LR Machinery Class: LR Maltese Cross LMC Fee Numeral: 008769 LR Hull Notes: 16BH   WB4908T,Italy,200009,33991,8.116,NTH,Netherlands,0,144,DF,Distillate Fuel,2796,RF,Residual Fuel,0,0,,,,237.83,0,244370000,,Holland America Line NV,1738,781,Rotterdam,0,,Fincantieri Breda Ven,,Dry Cargo/Passenger,Passenger,Passenger (Cruise) Ship,Ship Shape Including Multi-Hulls,Passenger,Cruise Ship,,21,,A37A2PC,0
9188154,EVER UTILE,In Service/Commission,Container Ship (Fully Cellular),69246,63216,0,40,Fuel: (heating coils) consumption: 201.00pd,"TEU: 5,652 TEU @14:4,291 C Ho 2808 TEU C Dk 2844 TEU incl 570 ref C.",0,"American Bureau of Shipping (2000-03-00) AB: Class Notation: (+)A1, Container Carrier, (E), (+)AMS, (+)ACCU, SH  Service Restriction: Unrestricted Service",Japan,200003,0,12.7,PAN,Panama,201,464.12,DF,Distillate Fuel,8378.44,RF,Residual Fuel,0,0,,,,285,0,351934000,,Evergreen Marine Corp,0,1010,Panama,0,,Mitsubishi Kobe,Post Panamax - Containership,Dry Cargo/Passenger,Container,Container Ship,Ship Shape Including Multi-Hulls,Cellular Container,Container Ship (Fully Cellular),,25,Evergreen U,A33A2CC,5652
9188609,AURORA AMETHYST,In Service/Commission,Bulk Carrier,28074,48893,0,32.2,,"Grain 61,553; Bale 59,844",0,"Nippon Kaiji Kyokai (1999-10-00) NK: Special Survey Date: 2009-10-28 Class Notation: NS*(BC, SHC 2,4 E)(ESP)(PSCM)/MNS* CHG, MPP, LSA, RCF, M0",Japan,199910,0,11.623,PHI,Philippines,0,1995,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,61553,,,,189.96,0,548536000,,Aurora Shipping Inc,0,2821,Manila,0,,IHI - Tokyo,Handymax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,Future 48,A21A2BC,0
9188611,AURORA SAPPHIRE,In Service/Commission,Bulk Carrier,28074,48893,0,32.2,,"Grain 61,553; Bale 59,844",0,"Nippon Kaiji Kyokai (2000-01-00) NK: Special Survey Date: 2009-11-28 Class Notation: NS*(BC, SHC 2,4 E)(ESP)(PSCM)/MNS* CHG, MPP, LSA, RCF, M0, AFS",Japan,200001,0,11.623,MAI,Marshall Islands,0,1995,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,61553,,,,189.9,0,538003989,,Athens Diversified Shipping Co,0,100,Majuro                                ,0,,IHI - Tokyo,Handymax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,Future 48,A21A2BC,0
9188647,CARNIVAL SPIRIT,In Service/Commission,Passenger/Cruise,85920,7200,0,32.2,Fuel: (heating coils),"Passengers; cabins 1,062; berths 2,680; Crew 930",0,Lloyd's Register (2001-04-00)LR Class: 100 A1 Survey Type: Continuous Survey Date: 2011-04 Class Notation: passenger ship:*IWS :EP LR Machinery Class: LMC LR Machinery Notations: UMS (Unmanned Machinery Spaces) (Suspended)Fee Numeral: 11935 LR Hull Notes: 16BH,Finland,200104,44920,7.8,MTA,Malta,0,157,DF,Distillate Fuel,3082,RF,Residual Fuel,0,0,,,,292.5,0,229136000,,Carnival Cruise Lines,2680,9130,Valletta,0,,Kvaerner Masa-Yards - Helsinki,,Dry Cargo/Passenger,Passenger,Passenger (Cruise) Ship,Ship Shape Including Multi-Hulls,Passenger,Cruise Ship,,22,Spirit,A37A2PC,0
9188805,MODERN PEAK,In Service/Commission,Vehicles Carrier,33831,10817,0,28,Fuel: (heating coils) consumption: 39.90pd,"Cargo heating coils; Cars 3,578",0,Korean Register of Shipping (1999-11-00) KR: Special Survey Date: 2004-11-08 Class Notation: +KRS  1 ,"Korea, South",199911,21681,8.716,PAN,Panama,39.9,0,RF,Residual Fuel,0,NN,Not Applicable,0,0,,,,164,0,357886000,,Cido Car Carrier Service Co,0,1010,Panama,0,,ShinA Shipbuilding Co Ltd,,Dry Cargo/Passenger,Ro-Ro Cargo,Vehicles Carrier,Ship Shape Including Multi-Hulls,Ro-Ro,Vehicles Carrier,,18.5,,A35B2RV,0
9189081,ALPHA EFFORT,In Service/Commission,Bulk Carrier,38564,72844,0,32.24,,"Grain 85,488; Segregated Ballast 46,962",0,"Lloyd's Register (1999-06-15)LR Class: + 100 A1 Survey Type: Special Survey Date: 2009-06 Class Notation: bulk carrier:strengthened for heavy cargoes, Nos. 2, 4 & 6 holds may be empty:*IWS:ESP:ESN:LI:ShipRight (SDA, FDA, CM) LR Machinery Class: LR Maltese Cross LMC LR Machinery Notations: UMS (Unmanned Machinery Spaces)Fee Numeral: 011089 LR Hull Notes: 9BH   WB34841T incl. No. 4 hold 12785T","Korea, South",199906,83750,13.896,GRC,Greece,0,2944,RF,Residual Fuel,205,DF,Distillate Fuel,0,85488,,,,225.02,0,240141000,,Alpha Tankers & Freighters,0,825,Piraeus,46962,Y,Samsung Heavy Inds - Geoje,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,15,,A21A2BC,0
9189093,FUTURE,In Service/Commission,Bulk Carrier,38564,72893,0,32.24,Fuel: (heating coils) consumption: 37.00pd,"Crew 28; Grain 85,488; Segregated Ballast 46,962",0,"Det Norske Veritas (2000-01-00) NV: Class Notation: 1A1 Bulk Carrier ESP HC-E E0 CSA-1 HOLDS(2,4,6)MAY BE EMPTY","Korea, South",199908,83829,13.896,GRC,Greece,37,153.9,DF,Distillate Fuel,2402.6,RF,Residual Fuel,0,85488,Double Bottom Entire Compartment Length,DBE,,225,0,239921000,,Oldendorff Carriers GmbH & Co,0,825,Piraeus,46962,Y,Samsung Heavy Inds - Geoje,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,15,,A21A2BC,0
9189108,ALPHA HAPPINESS,In Service/Commission,Bulk Carrier,38564,72893,0,32.24,,"Grain 85,400",0,"Det Norske Veritas (2000-01-00) NV: Class Notation: 1A1 Bulk Carrier ESP HC-E E0 CSA-1 HOLDS(2,4,6)MAY BE EMPTY","Korea, South",199910,0,13.59,GRC,Greece,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,85400,,,,225,0,240142000,,Alpha Tankers & Freighters,0,825,Piraeus,0,,Samsung Heavy Inds - Geoje,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,15,,A21A2BC,0
9189213,FORTUNE EAST,In Service/Commission,Bulk Carrier,39996,75615,0,32.26,Fuel: (heating coils) consumption: 32.90pd,"Crew 20; Grain 87,859",0,"Nippon Kaiji Kyokai (2000-05-00) NK: Special Survey Date: 2010-05-31 Class Notation: NS*(BC, SHC 2,4,6 E)(ESP)/MNS* CHG, MPP, LSA, RCF, M0, AFS",Japan,200005,0,13.928,HKG,"Hong Kong, China",32.9,237.6,DF,Distillate Fuel,2599.6,RF,Residual Fuel,0,87859,Double Bottom Entire Compartment Length,DBE,,225,0,477903100,,Continental International Shpg,0,9377,Hong Kong,0,,Mitsui Chiba Ichihara,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,,A21A2BC,0
9189251,MIGNON,In Service/Commission,Vehicles Carrier,67264,28126,0,32.26,,"Crew 30; Cars 7,194",0,"Lloyd's Register (1999-10-00)LR Class: + 100 A1 Survey Type: Special Survey Date: 2009-10 Class Notation: vehicle carrier:movable decks:deck Nos. 4, 6 & 8 strengthened for the carriage of roll on/roll off cargoes:*IWS:LI LR Machinery Class: LR Maltese Cross LMC LR Machinery Notations: UMS (Unmanned Machinery Spaces)Fee Numeral: 14154 LR Hull Notes: 4BH   WB8278T incl. DTf 792T, Comb. btm & STs 2844T,   STs 626T","Korea, South",199910,34000,11,SWD,Sweden,0,0,YY,"Yes, But Type Not Known",0,NN,Not Applicable,0,0,,,,227.95,0,265491000,,Wallenius Wilhelmsen Logistics,0,2127,Stockholm,0,,Daewoo Heavy Industries Ltd,,Dry Cargo/Passenger,Ro-Ro Cargo,Vehicles Carrier,Ship Shape Including Multi-Hulls,Ro-Ro,Vehicles Carrier,,20.5,,A35B2RV,0
9189419,CELEBRITY MILLENNIUM,In Service/Commission,Passenger/Cruise,90963,11928,0,32.2,Fuel: (heating coils) consumption: 240.00pd,"Passengers; cabins 1,019; berths 2,450; Crew 997",0,"Lloyd's Register (2000-06-22)LR Class: + 100 A1 Survey Type: Continuous Survey Date: 2010-06 Class Notation: passenger ship:*IWS:EP(A,N,R,P) LR Machinery Class: LR Maltese Cross LMC LR Machinery Notations: UMS (Unmanned Machinery Spaces) (Suspended)Fee Numeral: 011261 LR Hull Notes: 17BH",France,200006,47334,8.3,MTA,Malta,240,3462,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,294,0,249055000,,Celebrity Cruises Inc,2450,9130,Valletta,0,,Atlantique Chs,,Dry Cargo/Passenger,Passenger,Passenger (Cruise) Ship,Ship Shape Including Multi-Hulls,Passenger,Cruise Ship,,24,Millenium Class,A37A2PC,0
9189421,CELEBRITY INFINITY,In Service/Commission,Passenger/Cruise,90940,11778,0,32.2,Fuel: consumption: 220.00pd,"Passengers; cabins 975; berths 2,450; Crew 999",0,"Lloyd's Register (2001-02-00)LR Class: + 100 A1 Survey Type: Continuous Survey Date: 2011-02 Class Notation: passenger ship:*IWS:EP(A,N,R,P) LR Machinery Class: LR Maltese Cross LMC LR Machinery Notations: UMS (Unmanned Machinery Spaces)Fee Numeral: 011261 LR Hull Notes: 20BH",France,200102,47543,8.3,MTA,Malta,220,2900,DF,Distillate Fuel,0,NN,Not Applicable,0,0,,,,294,0,249048000,,Celebrity Cruises Inc,2450,9130,Valletta,0,,Atlantique Chs,,Dry Cargo/Passenger,Passenger,Passenger (Cruise) Ship,Ship Shape Including Multi-Hulls,Passenger,Cruise Ship,,24,Millenium Class,A37A2PC,0
9189768,MEDI TOKYO,In Service/Commission,Bulk Carrier,38835,74356,0,32.2,Fuel: (heating coils) consumption: 36.10pd,"Crew 25; Grain 87,590; Clean Ballast 23,894",0,Registro Italiano Navale (2005-10-00),Japan,199906,84638,13.821,ITL,Italy,36.1,70,DF,Distillate Fuel,2600,RF,Residual Fuel,0,87590,,,,225,0,247148200,,COGEMA,0,88,Cagliari                              ,0,,Sasebo Sasebo,Panamax - Bulk Carrier,Bulk Carriers,Bulk Dry,Bulk Carrier,Ship Shape Including Multi-Hulls,Dry Bulk Cargo,Bulk Carrier,,14.5,,A21A2BC,0
9189938,MARIANA,In Service/Commission,Open Hatch Cargo Ship,29688,50655,0,32.2,Fuel: (part heating coils) consumption: 39.00pd,"Crew 30; Grain 52,864; Bale 52,533; Segregated Ballast 26,375",0,"Nippon Kaiji Kyokai (1998-11-00) NK: Special Survey Date: 2008-11-17 Class Notation: NS*(BC, SHC 2,4,7 E)(IWS)/MNS* CHG, MPP, LSA, RCF, M0, AFS",Japan,199811,61213,12.225,IOM,Isle Of Man,39,213.9,DF,Distillate Fuel,2492.4,RF,Residual Fuel,0,52864,Double Hull,DHE,,194.94,0,235088073,,Westfal-Larsen Shipping AS,0,3575,Douglas                               ,26375,Y,Namura Shipbuilding - Imari,,Dry Cargo/Passenger,General Cargo,General Cargo Ship,Ship Shape Including Multi-Hulls,General Cargo,Open Hatch Cargo Ship,,15.55,,A31A2GO,0
9189940,MOBILANA,In Service/Commission,Open Hatch Cargo Ship,29688,50655,0,32.2,Fuel: (part heating coils) consumption: 39.00pd,"Crew 30; Grain 52,864; Bale 52,533; Segregated Ballast 26,375",0,"Nippon Kaiji Kyokai (1998-12-00) NK: Special Survey Date: 2008-11-25 Class Notation: NS*(BC, SHC 2,4,7 E)(IWS)/MNS* CHG, MPP, LSA, RCF, M0, AFS",Japan,199812,61213,12.225,IOM,Isle Of Man,39,213.9,DF,Distillate Fuel,2492.4,RF,Residual Fuel,0,52864,Double Hull,DHE,,194.94,0,235088041,,Westfal-Larsen Shipping AS,0,3575,Douglas                               ,26375,Y,Namura Shipbuilding - Imari,,Dry Cargo/Passenger,General Cargo,General Cargo Ship,Ship Shape Including Multi-Hulls,General Cargo,Open Hatch Cargo Ship,,15.55,,A31A2GO,0
